Target, Prediction, Time
1572.4,0,2012-05-26 08:53:00
1576.27,2706.33324132,2012-05-26 08:54:00
2233.94,2706.33324132,2012-05-26 08:55:00
2395.21,0,2012-05-26 08:56:00
2402.68,0,2012-05-26 08:57:00
2423.21,0,2012-05-26 08:58:00
2426.67,2691.39105453,2012-05-26 08:59:00
2110.88,2691.39105453,2012-05-26 09:00:00
1665.32,0,2012-05-26 09:01:00
1673.59,0,2012-05-26 09:02:00
2056.27,0,2012-05-26 09:03:00
2378.1,2783.71935329,2012-05-26 09:04:00
2389.3,2783.71935329,2012-05-26 09:05:00
2408.79,0,2012-05-26 09:06:00
1931.59,0,2012-05-26 09:07:00
1896.18,0,2012-05-26 09:08:00
2183.87,2866.36266644,2012-05-26 09:09:00
2640.24,2866.36266644,2012-05-26 09:10:00
2820.22,0,2012-05-26 09:11:00
2840.54,0,2012-05-26 09:12:00
2864.18,0,2012-05-26 09:13:00
2868.07,2863.55756047,2012-05-26 09:14:00
2862.92,2863.55756047,2012-05-26 09:15:00
2519.31,0,2012-05-26 09:16:00
2123.08,0,2012-05-26 09:17:00
2119.0,0,2012-05-26 09:18:00
2491.0,3027.29537598,2012-05-26 09:19:00
2821.05,3027.29537598,2012-05-26 09:20:00
2871.99,764.566767851,2012-05-26 09:21:00
2863.01,0,2012-05-26 09:22:00
2865.35,0,2012-05-26 09:23:00
2862.16,2946.27298398,2012-05-26 09:24:00
2846.11,2946.27298398,2012-05-26 09:25:00
2088.37,0,2012-05-26 09:26:00
2072.2,0,2012-05-26 09:27:00
2074.44,0,2012-05-26 09:28:00
2713.53,3195.01145111,2012-05-26 09:29:00
2313.32,3791.05824086,2012-05-26 09:30:00
2328.91,0,2012-05-26 09:31:00
2381.21,764.566767851,2012-05-26 09:32:00
2485.47,0,2012-05-26 09:33:00
2518.65,3260.7168861,2012-05-26 09:34:00
2319.02,3260.7168861,2012-05-26 09:35:00
2224.81,0,2012-05-26 09:36:00
2364.61,0,2012-05-26 09:37:00
2674.7,0,2012-05-26 09:38:00
3070.32,3411.87845369,2012-05-26 09:39:00
3073.93,3411.87845369,2012-05-26 09:40:00
3094.46,0,2012-05-26 09:41:00
2967.65,0,2012-05-26 09:42:00
2766.84,596.046789749,2012-05-26 09:43:00
2185.99,3637.83839633,2012-05-26 09:44:00
2266.36,3637.83839633,2012-05-26 09:45:00
2656.33,0,2012-05-26 09:46:00
3001.39,0,2012-05-26 09:47:00
2973.95,0,2012-05-26 09:48:00
3016.79,4012.23854373,2012-05-26 09:49:00
2700.8,4012.23854373,2012-05-26 09:50:00
1870.1,0,2012-05-26 09:51:00
1722.25,0,2012-05-26 09:52:00
2171.74,0,2012-05-26 09:53:00
2443.84,4288.56261762,2012-05-26 09:54:00
2453.77,4288.56261762,2012-05-26 09:55:00
2488.89,0,2012-05-26 09:56:00
2731.93,0,2012-05-26 09:57:00
2404.18,0,2012-05-26 09:58:00
2164.2,3502.36360697,2012-05-26 09:59:00
1966.75,3502.36360697,2012-05-26 10:00:00
2578.14,0,2012-05-26 10:01:00
2691.97,0,2012-05-26 10:02:00
2887.82,0,2012-05-26 10:03:00
